GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME,year
Australia,12 Mar 2000,Michael Schumacher,FERRARI,58,1:34:01.987,2000
Brazil,26 Mar 2000,Michael Schumacher,FERRARI,71,1:31:35.271,2000
San Marino,09 Apr 2000,Michael Schumacher,FERRARI,62,1:31:39.776,2000
Great Britain,23 Apr 2000,David Coulthard,MCLAREN MERCEDES,60,1:28:50.108,2000
Spain,07 May 2000,Mika Hakkinen,MCLAREN MERCEDES,65,1:33:55.390,2000
Europe,21 May 2000,Michael Schumacher,FERRARI,67,1:42:00.307,2000
Monaco,04 Jun 2000,David Coulthard,MCLAREN MERCEDES,78,1:49:28.213,2000
Canada,18 Jun 2000,Michael Schumacher,FERRARI,69,1:41:12.313,2000
France,02 Jul 2000,David Coulthard,MCLAREN MERCEDES,72,1:38:05.538,2000
Austria,16 Jul 2000,Mika Hakkinen,MCLAREN MERCEDES,71,1:28:15.818,2000
Germany,30 Jul 2000,Rubens Barrichello,FERRARI,45,1:25:34.418,2000
Hungary,13 Aug 2000,Mika Hakkinen,MCLAREN MERCEDES,77,1:45:33.869,2000
Belgium,27 Aug 2000,Mika Hakkinen,MCLAREN MERCEDES,44,1:28:14.494,2000
Italy,10 Sep 2000,Michael Schumacher,FERRARI,53,1:27:31.638,2000
United States,24 Sep 2000,Michael Schumacher,FERRARI,73,1:36:30.883,2000
Japan,08 Oct 2000,Michael Schumacher,FERRARI,53,1:29:53.435,2000
Malaysia,22 Oct 2000,Michael Schumacher,FERRARI,56,1:35:54.235,2000
Australia,04 Mar 2001,Michael Schumacher,FERRARI,58,1:38:26.533,2001
Malaysia,18 Mar 2001,Michael Schumacher,FERRARI,55,1:47:34.801,2001
Brazil,01 Apr 2001,David Coulthard,MCLAREN MERCEDES,71,1:39:00.834,2001
San Marino,15 Apr 2001,Ralf Schumacher,WILLIAMS BMW,62,1:30:44.817,2001
Spain,29 Apr 2001,Michael Schumacher,FERRARI,65,1:31:03.305,2001
Austria,13 May 2001,David Coulthard,MCLAREN MERCEDES,71,1:27:45.927,2001
Monaco,27 May 2001,Michael Schumacher,FERRARI,78,1:47:22.561,2001
Canada,10 Jun 2001,Ralf Schumacher,WILLIAMS BMW,69,1:34:31.522,2001
Europe,24 Jun 2001,Michael Schumacher,FERRARI,67,1:29:42.724,2001
France,01 Jul 2001,Michael Schumacher,FERRARI,72,1:33:35.636,2001
Great Britain,15 Jul 2001,Mika Hakkinen,MCLAREN MERCEDES,60,1:25:33.770,2001
Germany,29 Jul 2001,Ralf Schumacher,WILLIAMS BMW,45,1:18:17.873,2001
Hungary,19 Aug 2001,Michael Schumacher,FERRARI,77,1:41:49.675,2001
Belgium,02 Sep 2001,Michael Schumacher,FERRARI,36,1:08:05.002,2001
Italy,16 Sep 2001,Juan Pablo Montoya,WILLIAMS BMW,53,1:16:58.493,2001
United States,30 Sep 2001,Mika Hakkinen,MCLAREN MERCEDES,73,1:32:42.840,2001
Japan,14 Oct 2001,Michael Schumacher,FERRARI,53,1:27:33.298,2001
Australia,03 Mar 2002,Michael Schumacher,FERRARI,58,1:35:36.792,2002
Malaysia,17 Mar 2002,Ralf Schumacher,WILLIAMS BMW,56,1:34:12.912,2002
Brazil,31 Mar 2002,Michael Schumacher,FERRARI,71,1:31:43.663,2002
San Marino,14 Apr 2002,Michael Schumacher,FERRARI,62,1:29:10.789,2002
Spain,28 Apr 2002,Michael Schumacher,FERRARI,65,1:30:29.981,2002
Austria,12 May 2002,Michael Schumacher,FERRARI,71,1:33:51.562,2002
Monaco,26 May 2002,David Coulthard,MCLAREN MERCEDES,78,1:45:39.055,2002
Canada,09 Jun 2002,Michael Schumacher,FERRARI,70,1:33:36.111,2002
Europe,23 Jun 2002,Rubens Barrichello,FERRARI,60,1:35:07.426,2002
Great Britain,07 Jul 2002,Michael Schumacher,FERRARI,60,1:31:45.015,2002
France,21 Jul 2002,Michael Schumacher,FERRARI,72,1:32:09.837,2002
Germany,28 Jul 2002,Michael Schumacher,FERRARI,67,1:27:52.078,2002
Hungary,18 Aug 2002,Rubens Barrichello,FERRARI,77,1:41:49.001,2002
Belgium,01 Sep 2002,Michael Schumacher,FERRARI,44,1:21:20.634,2002
Italy,15 Sep 2002,Rubens Barrichello,FERRARI,53,1:16:19.982,2002
United States,29 Sep 2002,Rubens Barrichello,FERRARI,73,1:31:07.934,2002
Japan,13 Oct 2002,Michael Schumacher,FERRARI,53,1:26:59.698,2002
Australia,09 Mar 2003,David Coulthard,MCLAREN MERCEDES,58,1:34:42.124,2003
Malaysia,23 Mar 2003,Kimi Räikkönen,MCLAREN MERCEDES,56,1:32:22.195,2003
Brazil,06 Apr 2003,Giancarlo Fisichella,JORDAN FORD,54,1:31:17.748,2003
San Marino,20 Apr 2003,Michael Schumacher,FERRARI,62,1:28:12.058,2003
Spain,04 May 2003,Michael Schumacher,FERRARI,65,1:33:46.933,2003
Austria,18 May 2003,Michael Schumacher,FERRARI,69,1:24:04.888,2003
Monaco,01 Jun 2003,Juan Pablo Montoya,WILLIAMS BMW,78,1:42:19.010,2003
Canada,15 Jun 2003,Michael Schumacher,FERRARI,70,1:31:13.591,2003
Europe,29 Jun 2003,Ralf Schumacher,WILLIAMS BMW,60,1:34:43.622,2003
