POS,TEAM,PTS,year
1,FERRARI,170,2000
2,MCLAREN MERCEDES,152,2000
3,WILLIAMS BMW,36,2000
4,BENETTON PLAYLIFE,20,2000
5,BAR HONDA,20,2000
6,JORDAN MUGEN HONDA,17,2000
7,ARROWS SUPERTEC,7,2000
8,SAUBER PETRONAS,6,2000
9,JAGUAR COSWORTH,4,2000
1,FERRARI,179,2001
2,MCLAREN MERCEDES,102,2001
3,WILLIAMS BMW,80,2001
4,SAUBER PETRONAS,21,2001
5,JORDAN HONDA,19,2001
6,BAR HONDA,17,2001
7,BENETTON RENAULT,10,2001
8,JAGUAR COSWORTH,9,2001
9,PROST ACER,4,2001
10,ARROWS ASIATECH,1,2001
1,FERRARI,221,2002
2,WILLIAMS BMW,92,2002
3,MCLAREN MERCEDES,65,2002
4,RENAULT,23,2002
5,SAUBER PETRONAS,11,2002
6,JORDAN HONDA,9,2002
7,JAGUAR COSWORTH,8,2002
8,BAR HONDA,7,2002
9,MINARDI ASIATECH,2,2002
10,TOYOTA,2,2002
11,ARROWS COSWORTH,2,2002
1,FERRARI,158,2003
2,WILLIAMS BMW,144,2003
3,MCLAREN MERCEDES,142,2003
4,RENAULT,88,2003
5,BAR HONDA,26,2003
6,SAUBER PETRONAS,19,2003
7,JAGUAR COSWORTH,18,2003
8,TOYOTA,16,2003
9,JORDAN FORD,13,2003
10,MINARDI COSWORTH,0,2003
1,FERRARI,262,2004
2,BAR HONDA,119,2004
3,RENAULT,105,2004
4,WILLIAMS BMW,88,2004
5,MCLAREN MERCEDES,69,2004
6,SAUBER PETRONAS,34,2004
7,JAGUAR COSWORTH,10,2004
8,TOYOTA,9,2004
9,JORDAN FORD,5,2004
10,MINARDI COSWORTH,1,2004
1,RENAULT,191,2005
2,MCLAREN MERCEDES,182,2005
3,FERRARI,100,2005
4,TOYOTA,88,2005
5,WILLIAMS BMW,66,2005
6,BAR HONDA,38,2005
7,RBR COSWORTH,34,2005
8,SAUBER PETRONAS,20,2005
9,JORDAN TOYOTA,12,2005
10,MINARDI COSWORTH,7,2005
1,RENAULT,206,2006
2,FERRARI,201,2006
3,MCLAREN MERCEDES,110,2006
4,HONDA,86,2006
5,SAUBER BMW,36,2006
6,TOYOTA,35,2006
7,RBR FERRARI,16,2006
8,WILLIAMS COSWORTH,11,2006
9,STR COSWORTH,1,2006
10,MF1 TOYOTA,0,2006
11,SUPER AGURI HONDA,0,2006
1,FERRARI,204,2007
2,SAUBER BMW,101,2007
3,RENAULT,51,2007
4,WILLIAMS TOYOTA,33,2007
5,RED BULL RENAULT,24,2007
6,TOYOTA,13,2007
7,STR FERRARI,8,2007
8,HONDA,6,2007
9,SUPER AGURI HONDA,4,2007
10,SPYKER FERRARI,1,2007
EX,MCLAREN MERCEDES,0,2007
1,FERRARI,172,2008
2,MCLAREN MERCEDES,151,2008
3,SAUBER BMW,135,2008
4,RENAULT,80,2008
5,TOYOTA,56,2008
6,STR FERRARI,39,2008
7,RED BULL RENAULT,29,2008
8,WILLIAMS TOYOTA,26,2008
9,HONDA,14,2008
10,FORCE INDIA FERRARI,0,2008
11,SUPER AGURI HONDA,0,2008
1,BRAWN MERCEDES,172,2009
2,RBR RENAULT,153.5,2009
3,MCLAREN MERCEDES,71,2009
4,FERRARI,70,2009
5,TOYOTA,59.5,2009
6,SAUBER BMW,36,2009
7,WILLIAMS TOYOTA,34.5,2009
8,RENAULT,26,2009
9,FORCE INDIA MERCEDES,13,2009
10,STR FERRARI,8,2009
1,RBR RENAULT,498,2010
2,MCLAREN MERCEDES,454,2010
3,FERRARI,396,2010
4,MERCEDES,214,2010
5,RENAULT,163,2010
6,WILLIAMS COSWORTH,69,2010
7,FORCE INDIA MERCEDES,68,2010
8,SAUBER FERRARI,44,2010
9,STR FERRARI,13,2010
10,LOTUS COSWORTH,0,2010
11,HRT COSWORTH,0,2010
12,VIRGIN COSWORTH,0,2010
1,RED BULL RACING RENAULT,650,2011
2,MCLAREN MERCEDES,497,2011
3,FERRARI,375,2011
4,MERCEDES,165,2011
5,RENAULT,73,2011
6,FORCE INDIA MERCEDES,69,2011
7,SAUBER FERRARI,44,2011
8,STR FERRARI,41,2011
9,WILLIAMS COSWORTH,5,2011
10,LOTUS RENAULT,0,2011
11,HRT COSWORTH,0,2011
12,VIRGIN COSWORTH,0,2011
1,RED BULL RACING RENAULT,460,2012
2,FERRARI,400,2012
3,MCLAREN MERCEDES,378,2012
4,LOTUS RENAULT,303,2012
5,MERCEDES,142,2012
6,SAUBER FERRARI,126,2012
7,FORCE INDIA MERCEDES,109,2012
8,WILLIAMS RENAULT,76,2012
9,STR FERRARI,26,2012
10,CATERHAM RENAULT,0,2012
11,MARUSSIA COSWORTH,0,2012
12,HRT COSWORTH,0,2012
1,RED BULL RACING RENAULT,596,2013
2,MERCEDES,360,2013
3,FERRARI,354,2013
4,LOTUS RENAULT,315,2013
5,MCLAREN MERCEDES,122,2013
6,FORCE INDIA MERCEDES,77,2013
7,SAUBER FERRARI,57,2013
8,STR FERRARI,33,2013
9,WILLIAMS RENAULT,5,2013
10,MARUSSIA COSWORTH,0,2013
11,CATERHAM RENAULT,0,2013
1,MERCEDES,701,2014
2,RED BULL RACING RENAULT,405,2014
3,WILLIAMS MERCEDES,320,2014
4,FERRARI,216,2014
5,MCLAREN MERCEDES,181,2014
6,FORCE INDIA MERCEDES,155,2014
7,STR RENAULT,30,2014
8,LOTUS RENAULT,10,2014
9,MARUSSIA FERRARI,2,2014
10,SAUBER FERRARI,0,2014
11,CATERHAM RENAULT,0,2014
1,MERCEDES,703,2015
2,FERRARI,428,2015
3,WILLIAMS MERCEDES,257,2015
4,RED BULL RACING RENAULT,187,2015
5,FORCE INDIA MERCEDES,136,2015
6,LOTUS MERCEDES,78,2015
7,STR RENAULT,67,2015
8,SAUBER FERRARI,36,2015
9,MCLAREN HONDA,27,2015
10,MARUSSIA FERRARI,0,2015
1,MERCEDES,765,2016
2,RED BULL RACING TAG HEUER,468,2016
3,FERRARI,398,2016
4,FORCE INDIA MERCEDES,173,2016
5,WILLIAMS MERCEDES,138,2016
6,MCLAREN HONDA,76,2016
7,TORO ROSSO FERRARI,63,2016
8,HAAS FERRARI,29,2016
9,RENAULT,8,2016
10,SAUBER FERRARI,2,2016
11,MRT MERCEDES,1,2016
1,MERCEDES,668,2017
2,FERRARI,522,2017
3,RED BULL RACING TAG HEUER,368,2017
4,FORCE INDIA MERCEDES,187,2017
5,WILLIAMS MERCEDES,83,2017
6,RENAULT,57,2017
7,TORO ROSSO,53,2017
8,HAAS FERRARI,47,2017
9,MCLAREN HONDA,30,2017
